Phenotype	Category	Ancestry	p-value	Odds ratio	Model	No. cases	No. AA cases	No. AB cases	No. BB cases	Case AAF	Proportion AB or BB cases	Proportion BB cases	No. controls	No. AA controls	No. AB controls	No. BB controls	Control AAF	Proportion AB or BB controls	Proportion BB controls	Odds ratio LCI	Odds ratio UCI
131463#Source of report of J22 (Unspecified acute lower respiratory infection)	Chapter X Diseases of the respiratory system	European	1.15E-04	1.0288	allelic	60503	35978	21292	3233	0.2294	0.405351801	0.053435367	397832	239567	137974	20291	0.2244	0.397818677	0.051003941	1.0141	1.0437
41202#M18#Arthrosis of first carpometacarpal joint	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.22E-04	1.1442	allelic	2257	1276	843	138	0.2479	0.434647763	0.06114311	222968	134537	77135	11296	0.2236	0.396608482	0.050661978	1.0691	1.2247
Union#Block H90-H95#H90-H95 Other disorders of ear	Chapter VIII Diseases of the ear and mastoid process	European	1.34E-04	1.0533	allelic	16928	10037	5938	953	0.2317	0.407077032	0.056297259	161676	97758	55869	8049	0.2226	0.395346248	0.049784755	1.0257	1.0817
131145#Source of report of H11 (Other disorders of conjunctiva)	Chapter VII Diseases of the eye and adnexa	European	1.35E-04	1.0742	allelic	8093	4709	2923	461	0.2376	0.418139133	0.056962807	440980	265261	153145	22574	0.2248	0.398473854	0.05119053	1.0356	1.1142
131959#Source of report of M77 (Other enthesopathies)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	1.38E-04	1.0388	allelic	30512	18064	10780	1668	0.2313	0.407970635	0.054667016	427823	257481	148486	21856	0.2246	0.398159987	0.051086547	1.0187	1.0592
40001#C34#Malignant neoplasm of bronchus and lung	Chapter II Neoplasms	European	1.43E-04	0.8932	allelic	3436	2157	1138	141	0.2066	0.372235157	0.041036088	293434	176118	102134	15182	0.2258	0.399803704	0.051739062	0.8422	0.9472
Union#K449#Diaphragmatic hernia without obstruction or gangrene	Chapter XI Diseases of the digestive system	European	1.50E-04	0.968	allelic	51802	31514	17747	2541	0.2203	0.39164511	0.04905216	162343	97432	56446	8465	0.226	0.399838613	0.052142686	0.9518	0.9844
41202#Block K20-K31#K20-K31 Diseases of oesophagus stomach and duodenum	Chapter XI Diseases of the digestive system	European	1.54E-04	0.9738	allelic	77049	46887	26293	3869	0.2208	0.391465172	0.050214798	248290	149176	86279	12835	0.2254	0.399186435	0.051693584	0.9605	0.9873
40001#C349#Malignant neoplasm: Bronchus or lung unspecified	Chapter II Neoplasms	European	1.59E-04	0.8929	allelic	3378	2120	1120	138	0.2066	0.37240971	0.040852575	293629	176236	102173	15220	0.2258	0.399800428	0.051834117	0.8416	0.9474
41202#Chapter VII#Chapter VII Diseases of the eye and adnexa	Chapter VII Diseases of the eye and adnexa	European	1.59E-04	1.0253	allelic	79680	47413	28084	4183	0.2287	0.404957329	0.05249749	351728	211855	121929	17944	0.2243	0.397673771	0.051016695	1.0121	1.0387
Union#J849#Interstitial pulmonary disease unspecified	Chapter X Diseases of the respiratory system	European	1.60E-04	0.8343	allelic	1369	884	438	47	0.1943	0.354273192	0.034331629	173867	104765	60227	8875	0.2242	0.397441723	0.051044764	0.7587	0.9174
Union#E668#Other obesity	Chapter IV Endocrine nutritional and metabolic diseases	European	1.61E-04	1.0983	allelic	4601	2650	1683	268	0.2411	0.424038253	0.058248207	219718	132469	75884	11365	0.2244	0.397095368	0.051725393	1.0465	1.1526
41202#N20#Calculus of kidney and ureter	Chapter XIV Diseases of the genitourinary system	European	1.62E-04	1.0821	allelic	6563	3804	2387	372	0.2385	0.420387018	0.056681396	245246	147669	85038	12539	0.2245	0.397873971	0.051128255	1.0389	1.127
40006#Block D00-D09#D00-D09 In situ neoplasms	Chapter II Neoplasms	European	1.76E-04	0.9462	allelic	14141	8687	4773	681	0.2169	0.385687009	0.048157839	263489	157905	91825	13759	0.2265	0.40071502	0.052218499	0.9191	0.974
41202#Block N20-N23#N20-N23 Urolithiasis	Chapter XIV Diseases of the genitourinary system	European	1.78E-04	1.0703	allelic	8858	5171	3187	500	0.2363	0.416233913	0.05644615	242005	145862	83723	12420	0.2243	0.397276916	0.051321254	1.0332	1.1088
41202#L60#Nail disorders	Chapter XII Diseases of the skin and subcutaneous tissue	European	1.81E-04	1.1762	allelic	1450	796	570	84	0.2545	0.451034483	0.057931034	368031	221400	127691	18940	0.2249	0.398420242	0.051463056	1.0817	1.2789
Union#J22#Unspecified acute lower respiratory infection	Chapter X Diseases of the respiratory system	European	1.87E-04	1.0295	allelic	60503	35978	21292	3233	0.2294	0.405351801	0.053435367	210125	126535	72922	10668	0.2243	0.397810827	0.05076978	1.014	1.0453
40002#Chapter X#Chapter X Diseases of the respiratory system	Chapter X Diseases of the respiratory system	European	1.94E-04	0.9339	allelic	9008	5585	2995	428	0.2138	0.37999556	0.047513321	313258	188158	108942	16158	0.2255	0.399351333	0.051580486	0.9008	0.9683
42009#Source of ischaemic stroke report	Chapter IX Diseases of the circulatory system	European	1.94E-04	1.066	allelic	9830	5749	3524	557	0.2359	0.415157681	0.056663276	331408	199481	114997	16930	0.2246	0.398080312	0.051085067	1.031	1.1022
Union#Block H25-H28#H25-H28 Disorders of lens	Chapter VII Diseases of the eye and adnexa	European	2.05E-04	1.0285	allelic	62008	36897	21849	3262	0.2288	0.404963876	0.052606115	254925	153783	88143	12999	0.2239	0.396751986	0.050991468	1.0134	1.0438
41202#K429#Umbilical hernia without obstruction or gangrene	Chapter XI Diseases of the digestive system	European	2.08E-04	1.1005	allelic	4293	2469	1570	254	0.242	0.424877708	0.059166084	146282	88000	50769	7513	0.2249	0.398422226	0.051359702	1.0467	1.1571
40006#Block C30-C39#C30-C39 Malignant neoplasms of respiratory and intrathoracic organs	Chapter II Neoplasms	European	2.10E-04	0.9163	allelic	5437	3383	1815	239	0.2109	0.377781865	0.043958065	289182	173565	100649	14968	0.2258	0.399807042	0.051759791	0.8747	0.9599
40002#Block G20-G26#G20-G26 Extrapyramidal and movement disorders	Chapter VI Diseases of the nervous system	European	2.16E-04	0.7423	allelic	505	343	145	17	0.1772	0.320792079	0.033663366	294946	177343	102523	15080	0.2249	0.398727225	0.051128003	0.6315	0.8725
41202#K85#Acute pancreatitis	Chapter XI Diseases of the digestive system	European	2.17E-04	1.1171	allelic	3109	1792	1111	206	0.2449	0.423608877	0.066259247	223616	134497	77592	11527	0.225	0.398535883	0.05154819	1.0539	1.184
Union#M79#Other soft tissue disorders not elsewhere classified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.20E-04	1.0279	allelic	82702	49399	29011	4292	0.2273	0.402686755	0.051897173	139296	84343	47919	7034	0.2225	0.394505226	0.050496784	1.013	1.0429
Union#H269#Cataract unspecified	Chapter VII Diseases of the eye and adnexa	European	2.23E-04	1.0366	allelic	33976	20144	12074	1758	0.2294	0.407110902	0.051742406	258028	155951	89005	13072	0.2231	0.395604353	0.050661169	1.017	1.0565
Union#M350#Sicca syndrome [Sjogren]	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.30E-04	0.8313	allelic	1266	833	379	54	0.1923	0.342022117	0.042654028	90961	55054	31303	4604	0.2227	0.394751597	0.050615099	0.7526	0.9182
Union#M139#Arthritis unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.37E-04	1.0406	allelic	29799	17653	10602	1544	0.2297	0.40759757	0.051813819	132042	79909	45446	6687	0.2227	0.394821345	0.050642977	1.0188	1.0629
Union#M199#Arthrosis unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.39E-04	1.0346	allelic	44588	26524	15726	2338	0.2288	0.405131425	0.052435633	132837	80346	45779	6712	0.2228	0.395153459	0.050528091	1.016	1.0535
Union#E669#Obesity unspecified	Chapter IV Endocrine nutritional and metabolic diseases	European	2.62E-04	1.0362	allelic	34180	20220	12161	1799	0.2305	0.40842598	0.052633119	235541	142032	81365	12144	0.2243	0.396996701	0.051557903	1.0167	1.0562
Union#Z87#Personal history of other diseases and conditions	Chapter XXI Factors influencing health status and contact with health services	European	2.70E-04	1.0296	allelic	63837	38006	22444	3387	0.2288	0.404639942	0.053057005	147020	88714	50823	7483	0.2237	0.396585499	0.050897837	1.0136	1.0459
Union#M1994#Arthrosis unspecified Hand	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	2.99E-04	1.1108	allelic	3375	1936	1247	192	0.2416	0.42637037	0.056888889	116921	70670	40379	5872	0.2229	0.39557479	0.050221945	1.0497	1.1755
Union#H26#Other cataract	Chapter VII Diseases of the eye and adnexa	European	3.04E-04	1.0307	allelic	48210	28613	17122	2475	0.2289	0.406492429	0.051337897	257533	155470	88949	13114	0.2236	0.396310376	0.050921629	1.014	1.0478
Union#R00#Abnormalities of heart beat	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	3.09E-04	1.0496	allelic	21163	12592	7447	1124	0.2291	0.404999291	0.053111563	64637	39388	21977	3272	0.2206	0.390627659	0.050621161	1.0224	1.0774
Union#Block R00-R09#R00-R09 Symptoms and signs involving the circulatory and respiratory systems	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	3.11E-04	1.0321	allelic	89944	53915	31381	4648	0.2261	0.400571467	0.051676599	64525	39324	21928	3273	0.2206	0.390561798	0.050724525	1.0145	1.05
Union#Block H30-H36#H30-H36 Disorders of choroid and retina	Chapter VII Diseases of the eye and adnexa	European	3.17E-04	1.0446	allelic	20838	12322	7393	1123	0.2313	0.408676456	0.053891928	273138	164907	94303	13928	0.2236	0.396250247	0.050992539	1.0202	1.0696
Union#K60#Fissure and fistula of anal and rectal regions	Chapter XI Diseases of the digestive system	European	3.20E-04	1.0796	allelic	6457	3733	2358	366	0.2393	0.42186774	0.05668267	130850	78627	45405	6818	0.2256	0.399105846	0.052105464	1.0358	1.1253
Union#B171#Acute hepatitis C	Chapter I Certain infectious and parasitic diseases	European	3.25E-04	0.6351	allelic	221	157	59	5	0.1561	0.28959276	0.022624434	209355	125655	72947	10753	0.2256	0.399799384	0.051362518	0.4912	0.8211
Union#M7969#Pain in limb Site unspecified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	3.25E-04	1.0374	allelic	33172	19667	11767	1738	0.2298	0.407120463	0.052393585	151968	91825	52412	7731	0.2233	0.39576095	0.050872552	1.0169	1.0584
Union#Block C30-C39#C30-C39 Malignant neoplasms of respiratory and intrathoracic organs	Chapter II Neoplasms	European	3.53E-04	0.9304	allelic	7449	4609	2498	342	0.2136	0.381259229	0.045912203	238282	142982	82918	12382	0.226	0.399946282	0.05196364	0.8941	0.9681
Union#H81#Disorders of vestibular function	Chapter VIII Diseases of the ear and mastoid process	European	3.74E-04	1.057	allelic	12447	7309	4477	661	0.2329	0.412790231	0.053105166	185542	112020	64221	9301	0.2232	0.396255295	0.050128812	1.0253	1.0896
Union#R001#Bradycardia unspecified	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	3.92E-04	1.076	allelic	7705	4534	2748	423	0.2332	0.411550941	0.054899416	48690	29693	16533	2464	0.2204	0.390162251	0.050605874	1.0335	1.1202
41202#M25#Other joint disorders not elsewhere classified	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	3.98E-04	1.0515	allelic	14757	8684	5289	784	0.2323	0.41153351	0.053127329	293647	177346	101345	14956	0.2235	0.396057171	0.050931901	1.0228	1.081
41202#K60#Fissure and fistula of anal and rectal regions	Chapter XI Diseases of the digestive system	European	4.01E-04	1.106	allelic	3466	1976	1294	196	0.2432	0.429890364	0.056549336	186501	112193	64631	9677	0.2252	0.39843218	0.051887121	1.0464	1.169
41202#Block H30-H36#H30-H36 Disorders of choroid and retina	Chapter VII Diseases of the eye and adnexa	European	4.10E-04	1.0626	allelic	9782	5717	3523	542	0.2355	0.41555919	0.055407892	341521	205536	118467	17518	0.2247	0.398174636	0.051294064	1.0275	1.0988
40001#U071#COVID-19 virus identified	Chapter I Certain infectious and parasitic diseases	European	4.10E-04	0.8366	allelic	1230	799	381	50	0.1955	0.350406504	0.040650407	312341	187778	108492	16071	0.2251	0.398804512	0.051453379	0.7571	0.9244
41202#K409#Unilateral or unspecified inguinal hernia without obstruction or gangrene	Chapter XI Diseases of the digestive system	European	4.12E-04	1.0449	allelic	21588	12693	7759	1136	0.2323	0.412034464	0.052621827	120126	72408	41478	6240	0.2246	0.397232905	0.051945457	1.0198	1.0706
Union#Chapter II#Chapter II Neoplasms	Chapter II Neoplasms	European	4.19E-04	0.9817	allelic	176477	106578	61032	8867	0.2232	0.396079942	0.050244508	257078	154088	89584	13406	0.2264	0.400617711	0.052147597	0.9717	0.9918
Union#H409#Glaucoma unspecified	Chapter VII Diseases of the eye and adnexa	European	4.22E-04	1.0669	allelic	8623	5040	3111	472	0.2351	0.415516642	0.05473733	267066	161183	92292	13591	0.2237	0.39646754	0.050890042	1.0294	1.1058
41202#M161#Other primary coxarthrosis	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	4.24E-04	1.0874	allelic	5025	2902	1849	274	0.2385	0.422487562	0.054527363	286337	172837	98938	14562	0.2236	0.396386077	0.050856159	1.0382	1.1389
41202#J849#Interstitial pulmonary disease unspecified	Chapter X Diseases of the respiratory system	European	4.45E-04	0.7268	allelic	402	274	116	12	0.1741	0.31840796	0.029850746	343891	206914	119294	17683	0.2249	0.398315164	0.051420363	0.6056	0.8722
Union#C34#Malignant neoplasm of bronchus and lung	Chapter II Neoplasms	European	4.52E-04	0.927	allelic	6495	4022	2179	294	0.213	0.380754426	0.045265589	252021	151181	87773	13067	0.226	0.400125386	0.051848854	0.8884	0.9673
Union#Z867#Personal history of diseases of the circulatory system	Chapter XXI Factors influencing health status and contact with health services	European	4.91E-04	1.0341	allelic	40199	23912	14154	2133	0.2291	0.405159332	0.053061021	133185	80465	45974	6746	0.2232	0.395840372	0.05065135	1.0148	1.0537
40001#U07#Emergency use of U07	Chapter I Certain infectious and parasitic diseases	European	4.97E-04	0.8406	allelic	1249	810	388	51	0.1962	0.351481185	0.040832666	313375	188371	108997	16007	0.225	0.398895892	0.051079378	0.7614	0.928
41202#M23#Internal derangement of knee	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	5.09E-04	1.0457	allelic	18339	10823	6547	969	0.2313	0.409836959	0.052838214	267659	161621	92442	13596	0.2235	0.396168259	0.050795975	1.0198	1.0723
131311#Source of report of I27 (Other pulmonary heart diseases)	Chapter IX Diseases of the circulatory system	European	5.34E-04	1.1101	allelic	3049	1758	1096	195	0.2437	0.423417514	0.063955395	390825	235027	135762	20036	0.225	0.398638777	0.051265912	1.0468	1.1772
Union#R060#Dyspnoea	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	5.46E-04	1.0411	allelic	29568	17649	10400	1519	0.2272	0.403104708	0.051373106	74131	45179	25251	3701	0.2202	0.390551861	0.049925133	1.0176	1.0652
41202#Block H40-H42#H40-H42 Glaucoma	Chapter VII Diseases of the eye and adnexa	European	5.58E-04	1.094	allelic	4153	2391	1528	234	0.2403	0.424271611	0.056344811	378655	228132	131182	19341	0.2243	0.39752017	0.051078158	1.04	1.1508
41202#H40#Glaucoma	Chapter VII Diseases of the eye and adnexa	European	5.58E-04	1.094	allelic	4153	2391	1528	234	0.2403	0.424271611	0.056344811	378655	228132	131182	19341	0.2243	0.39752017	0.051078158	1.04	1.1508
Union#I951#Orthostatic hypotension	Chapter IX Diseases of the circulatory system	European	5.68E-04	0.9282	allelic	6664	4132	2233	299	0.2124	0.379951981	0.044867947	133167	80057	46258	6852	0.2251	0.398822531	0.051454189	0.8896	0.9685
41202#H33#Retinal detachments and breaks	Chapter VII Diseases of the eye and adnexa	European	5.76E-04	1.0845	allelic	5113	2974	1839	300	0.2385	0.418345394	0.058673968	303259	182786	105034	15439	0.2241	0.397261087	0.050910278	1.0359	1.1354
40002#J84#Other interstitial pulmonary diseases	Chapter X Diseases of the respiratory system	European	5.76E-04	0.7467	allelic	459	310	134	15	0.1786	0.324618736	0.032679739	305041	183144	106172	15725	0.2256	0.399608577	0.051550447	0.6306	0.8842
40001#Chapter VI#Chapter VI Diseases of the nervous system	Chapter VI Diseases of the nervous system	European	6.06E-04	0.8885	allelic	2552	1628	799	125	0.2055	0.362068966	0.048981191	384281	230670	133910	19701	0.2255	0.399736131	0.051267172	0.83	0.9511
Union#M70#Soft tissue disorders related to use overuse and pressure	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	6.14E-04	1.0492	allelic	15982	9418	5728	836	0.2315	0.410712051	0.052308847	147626	89263	50864	7499	0.2231	0.395343639	0.050797285	1.0209	1.0784
131251#Source of report of H80 (Otosclerosis)	Chapter VIII Diseases of the ear and mastoid process	European	6.19E-04	0.827	allelic	1021	667	312	42	0.1939	0.346718903	0.041136141	387437	232736	134783	19918	0.2254	0.399293304	0.051409649	0.741	0.923
131703#Source of report of L03 (Cellulitis)	Chapter XII Diseases of the skin and subcutaneous tissue	European	6.37E-04	1.0343	allelic	31532	18736	11068	1728	0.2303	0.405809971	0.054801472	377842	227492	131139	19211	0.2244	0.397917648	0.050844004	1.0145	1.0545
Union#I489#Atrial fibrillation and atrial flutter unspecified	Chapter IX Diseases of the circulatory system	European	6.55E-04	1.0399	allelic	25916	15266	9271	1379	0.2321	0.410943047	0.053210372	122732	73759	42675	6298	0.2252	0.399023889	0.05131506	1.0168	1.0636
Union#I27#Other pulmonary heart diseases	Chapter IX Diseases of the circulatory system	European	6.59E-04	1.1089	allelic	3049	1758	1096	195	0.2437	0.423417514	0.063955395	144379	86755	50238	7386	0.2251	0.399116215	0.051157024	1.0453	1.1765
40006#C34#Malignant neoplasm of bronchus and lung	Chapter II Neoplasms	European	6.61E-04	0.919	allelic	4916	3054	1645	217	0.2115	0.378763222	0.044141579	303814	182381	105617	15816	0.2259	0.399695208	0.052058167	0.8753	0.965
Union#C43#Malignant melanoma of skin	Chapter II Neoplasms	European	6.66E-04	0.936	allelic	8019	4956	2682	381	0.2147	0.381967826	0.047512159	263154	157826	91657	13671	0.2261	0.400252324	0.051950569	0.9009	0.9725
40001#G20#Parkinson disease	Chapter VI Diseases of the nervous system	European	6.67E-04	0.7681	allelic	537	361	156	20	0.1825	0.327746741	0.037243948	302534	181840	105136	15558	0.2252	0.39894359	0.051425625	0.6578	0.8968
131875#Source of report of M18 (Arthrosis of first carpometacarpal joint)	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	6.80E-04	1.1121	allelic	2840	1615	1063	162	0.2442	0.431338028	0.057042254	329061	197712	114544	16805	0.2251	0.399163073	0.051069559	1.0465	1.1818
Union#C23#Malignant neoplasm of gallbladder	Chapter II Neoplasms	European	6.84E-04	0.6525	allelic	224	163	50	11	0.1607	0.272321429	0.049107143	213592	127855	74557	11180	0.2269	0.401405483	0.052342784	0.5071	0.8398
41202#M202#Hallux rigidus	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	6.87E-04	1.1375	allelic	1930	1097	714	119	0.2466	0.431606218	0.061658031	236256	142684	81543	12029	0.2235	0.396061899	0.050915109	1.0568	1.2242
41202#M1907#Primary arthrosis of other joints Ankle and foot	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	7.01E-04	1.2649	allelic	556	294	227	35	0.2671	0.471223022	0.06294964	266257	160714	91982	13561	0.2237	0.396395212	0.050931994	1.1074	1.4448
131807#Source of report of L82 (Seborrhoeic keratosis)	Chapter XII Diseases of the skin and subcutaneous tissue	European	7.29E-04	0.9664	allelic	30446	18599	10324	1523	0.2196	0.389115155	0.050022992	413339	248184	143907	21248	0.2255	0.399563071	0.051405747	0.9474	0.9858
40006#C210#Malignant neoplasm: Anus unspecified	Chapter II Neoplasms	European	7.39E-04	0.5427	allelic	117	87	28	2	0.1368	0.256410256	0.017094017	274672	164797	95628	14247	0.2259	0.400022572	0.051869138	0.3738	0.788
Union#Block K20-K31#K20-K31 Diseases of oesophagus stomach and duodenum	Chapter XI Diseases of the digestive system	European	7.47E-04	0.9778	allelic	109521	66362	37656	5503	0.2222	0.394070544	0.050246072	160274	96156	55773	8345	0.2261	0.40005241	0.052067085	0.9651	0.9906
41202#C509#Malignant neoplasm: Breast unspecified	Chapter II Neoplasms	European	7.56E-04	0.9453	allelic	11175	6864	3782	529	0.2166	0.385771812	0.047337808	172729	103484	60332	8913	0.2262	0.400888096	0.051601063	0.9148	0.9769
Union#M23#Internal derangement of knee	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	7.85E-04	1.0421	allelic	22036	13034	7857	1145	0.2302	0.408513342	0.051960428	134933	81636	46409	6888	0.223	0.394988624	0.051047557	1.0174	1.0673
131367#Source of report of I63 (Cerebral infarction)	Chapter IX Diseases of the circulatory system	European	8.09E-04	1.0588	allelic	9955	5840	3554	561	0.2349	0.413360121	0.056353591	334749	201365	116300	17084	0.2247	0.398459741	0.051035253	1.0241	1.0946
130793#Source of report of E66 (Obesity)	Chapter IV Endocrine nutritional and metabolic diseases	European	8.20E-04	1.0276	allelic	47983	28490	16973	2520	0.2294	0.406248046	0.0525186	398752	240056	138272	20424	0.2246	0.397981703	0.051219806	1.0114	1.0441
Union#R60#Oedema not elsewhere classified	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	8.36E-04	1.0736	allelic	6984	4097	2513	374	0.2335	0.413373425	0.053550974	61088	37197	20782	3109	0.221	0.39109154	0.050893793	1.03	1.1191
Union#M19#Other arthrosis	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	8.42E-04	1.0251	allelic	85947	51324	30269	4354	0.2268	0.402841286	0.050659127	132455	80244	45497	6714	0.2224	0.394179155	0.050688913	1.0103	1.0401
Union#C809#Malignant neoplasm primary site unspecified	Chapter II Neoplasms	European	8.45E-04	0.9687	allelic	37163	22552	12808	1803	0.2208	0.393159863	0.048515997	226554	135744	79056	11754	0.2264	0.40083159	0.051881671	0.9508	0.987
Union#E66#Obesity	Chapter IV Endocrine nutritional and metabolic diseases	European	8.48E-04	1.0286	allelic	47983	28490	16973	2520	0.2294	0.406248046	0.0525186	238540	143830	82343	12367	0.2244	0.397040329	0.051844554	1.0117	1.0457
Union#C349#Malignant neoplasm: Bronchus or lung unspecified	Chapter II Neoplasms	European	8.55E-04	0.922	allelic	5110	3169	1712	229	0.2123	0.379843444	0.04481409	244217	146444	85045	12728	0.2262	0.400352965	0.052117584	0.8789	0.9672
Union#Chapter XVIII#Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	8.80E-04	1.025	allelic	230546	138596	80241	11709	0.2248	0.398835807	0.050788129	67877	41364	23088	3425	0.2205	0.390603592	0.050458918	1.0102	1.0401
40006#C23#Malignant neoplasm of gallbladder	Chapter II Neoplasms	European	8.83E-04	0.5846	allelic	144	107	32	5	0.1458	0.256944444	0.034722222	281144	168613	97964	14567	0.226	0.400261076	0.051813306	0.4214	0.811
41202#K42#Umbilical hernia	Chapter XI Diseases of the digestive system	European	8.85E-04	1.086	allelic	4652	2689	1693	270	0.24	0.421969046	0.058039553	148283	89171	51413	7699	0.2253	0.398643135	0.051920989	1.0347	1.1398
40006#Block C50-C50#C50-C50 Malignant neoplasm of breast	Chapter II Neoplasms	European	9.29E-04	0.9559	allelic	17174	10509	5821	844	0.2186	0.388086643	0.049144055	186545	111772	65073	9700	0.2264	0.400830899	0.051998177	0.9307	0.9818
Union#R102#Pelvic and perineal pain	Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified	European	9.57E-04	1.0564	allelic	12054	7133	4273	648	0.231	0.408246225	0.053758089	72016	43722	24700	3594	0.2214	0.392884914	0.049905577	1.0227	1.0912
Union#M2556#Pain in joint Lower leg	Chapter XIII Diseases of the musculoskeletal system and connective tissue	European	9.67E-04	1.0913	allelic	4075	2355	1496	224	0.2385	0.42208589	0.054969325	157309	95128	54197	7984	0.223	0.395279355	0.050753612	1.0364	1.1492
40006#C50#Malignant neoplasm of breast	Chapter II Neoplasms	European	9.98E-04	0.9562	allelic	17174	10509	5821	844	0.2186	0.388086643	0.049144055	186547	111788	65063	9696	0.2264	0.400751553	0.051976178	0.931	0.9821
41202#D05#Carcinoma in situ of breast	Chapter II Neoplasms	European	1.00E-03	0.8975	allelic	2816	1775	911	130	0.2079	0.369673295	0.046164773	171810	102923	60018	8869	0.2263	0.400948722	0.051620977	0.8412	0.9577
41202#K219#Gastro-oesophageal reflux disease without oesophagitis	Chapter XI Diseases of the digestive system	European	1.00E-03	0.9442	allelic	10033	6200	3339	494	0.2156	0.38203927	0.049237516	227664	136740	79165	11759	0.2255	0.399378031	0.051650678	0.9123	0.9772
41202#H80#Otosclerosis	Chapter VIII Diseases of the ear and mastoid process	European	1.10E-03	0.7222	allelic	340	233	96	11	0.1735	0.314705882	0.032352941	392333	235826	136275	20232	0.2252	0.398913678	0.051568438	0.5922	0.8808
Union#H931#Tinnitus	Chapter VIII Diseases of the ear and mastoid process	European	1.10E-03	1.0299	allelic	44380	26427	15669	2284	0.228	0.404529067	0.051464624	169334	102399	58399	8536	0.2228	0.395283877	0.05040925	1.0119	1.0483
41202#C23#Malignant neoplasm of gallbladder	Chapter II Neoplasms	European	1.20E-03	0.5965	allelic	145	111	25	9	0.1483	0.234482759	0.062068966	241181	144685	84015	12481	0.2259	0.400097852	0.051749516	0.4314	0.8247
41202#I849#Unspecified haemorrhoids without complication	Chapter IX Diseases of the circulatory system	European	1.20E-03	1.0619	allelic	8372	4891	3026	455	0.2351	0.415790731	0.054347826	294288	177265	101948	15075	0.2244	0.397647882	0.05122533	1.0241	1.1011
41202#K30#Functional dyspepsia	Chapter XI Diseases of the digestive system	European	1.20E-03	0.9487	allelic	11743	7251	3897	595	0.2166	0.38252576	0.050668483	217706	130704	75748	11254	0.2257	0.399630695	0.051693568	0.919	0.9794
Union#E119#Type 2 diabetes mellitus Without complications	Chapter IV Endocrine nutritional and metabolic diseases	European	1.20E-03	1.0319	allelic	36298	21540	12833	1925	0.2298	0.406578875	0.053033225	185943	112171	64130	9642	0.2243	0.396745239	0.051854601	1.0125	1.0516
Union#H251#Senile nuclear cataract	Chapter VII Diseases of the eye and adnexa	European	1.20E-03	1.0404	allelic	20407	12101	7198	1108	0.2307	0.4070172	0.054295095	255241	154064	88157	13020	0.2237	0.396397914	0.051010613	1.0158	1.0656
20002#1348#gynaecological disorder (not cancer)	Chapter XIV Diseases of the genitourinary system	European	1.30E-03	1.0398	allelic	21042	12433	7469	1140	0.2317	0.409134113	0.05417736	214259	128845	74505	10909	0.2248	0.398648365	0.050915014	1.0154	1.0648
40001#Chapter II#Chapter II Neoplasms	Chapter II Neoplasms	European	1.30E-03	0.9608	allelic	20131	12327	6804	1000	0.2187	0.387660822	0.049674631	286290	171904	99616	14770	0.2256	0.399545915	0.051591044	0.9377	0.9846
41202#Block C50-C50#C50-C50 Malignant neoplasm of breast	Chapter II Neoplasms	European	1.30E-03	0.9563	allelic	16506	10092	5611	803	0.2186	0.388585969	0.048648976	172610	103391	60296	8923	0.2264	0.401013846	0.051694572	0.9305	0.9827
41202#Block H25-H28#H25-H28 Disorders of lens	Chapter VII Diseases of the eye and adnexa	European	1.30E-03	1.0244	allelic	58966	35109	20749	3108	0.2286	0.404589085	0.05270834	343783	206984	119293	17506	0.2244	0.397922527	0.050921657	1.0094	1.0396
41202#H401#Primary open-angle glaucoma	Chapter VII Diseases of the eye and adnexa	European	1.30E-03	1.1429	allelic	1604	899	613	92	0.2484	0.439526185	0.057356608	343628	206994	119081	17553	0.2244	0.397621847	0.051081402	1.0547	1.2384
